n,r,p
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:HAS_WORKED_ON],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:NEEDS],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 5,name: Customer Portal Redesign,description: Modernize user interface and experience,id: 4,completed: false,deadline: 2026-11-20T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:HAS_WORKED_ON],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:IS_MANAGER],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:HAS_WORKED_ON],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:NEEDS],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:NEEDS],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:NEEDS],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:NEEDS],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:NEEDS],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:NEEDS],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:NEEDS],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:NEEDS],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 8,name: Data Migration Initiative,description: Move legacy systems to cloud infrastructure,id: 5,completed: false,deadline: 2026-09-10T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:IS_MANAGER],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:CURRENTLY_WORKING_ON],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:NEEDS],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 4,name: Marketing Campaign Q4,description: Launch new product awareness campaign,id: 6,completed: false,deadline: 2026-12-01T00:00:00})"
"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})"
"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})"
"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})"
"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})"
"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})"
"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})"
"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})",[:NEEDS],"(:Project {employees_needed: 6,name: Security Audit Compliance,description: Ensure systems meet ISO 27001 standards,id: 7,completed: false,deadline: 2026-10-15T00:00:00})"
"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})",[:HAS_WORKED_ON],"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})"
"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})",[:IS_MANAGER],"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})"
"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})",[:HAS_WORKED_ON],"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})"
"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})",[:HAS_WORKED_ON],"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})"
"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})",[:NEEDS],"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})"
"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})"
"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})"
"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})",[:CONSISTS_OF],"(:Project {employees_needed: 10,name: Older Project,description: Event needs to delete,id: 8,completed: true,deadline: 2023-02-22T00:00:00})"
"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})",[:IS_A],"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})"
"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})"
"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})",[:IS_MANAGER],"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})"
"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})",[:HAS],"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})"
"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})",[:OCCUPIES],"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})"
"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})",[:WORKS_IN],"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})"
"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})",[:BELONGS_TO],"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})"
"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})",[:IN_PROGRESS],"(:Employee {work_email: Admin@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88888927,last_name: Admin,id: 1,first_name: Admin})"
"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})",[:IS_A],"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})"
"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})",[:HAS_WORKED_ON],"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})"
"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})",[:HAS],"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})"
"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})",[:OCCUPIES],"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})"
"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})",[:WORKS_IN],"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})"
"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})",[:BELONGS_TO],"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})"
"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})",[:MEASSURED_BY],"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})"
"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})",[:HAS_COMPLETED],"(:Employee {work_email: alice@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88887777,last_name: Jensen,id: 2,first_name: Alice})"
"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})",[:IS_A],"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})"
"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})",[:HAS_WORKED_ON],"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})"
"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})",[:HAS],"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})"
"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})",[:OCCUPIES],"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})"
"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})",[:WORKS_IN],"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})"
"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})",[:BELONGS_TO],"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})"
"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})",[:IN_PROGRESS],"(:Employee {work_email: mikkel@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88881234,last_name: Andersen,id: 3,first_name: Mikkel})"
"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})",[:IS_A],"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})"
"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})",[:CURRENTLY_WORKING_ON],"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})"
"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})",[:HAS],"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})"
"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})",[:OCCUPIES],"(:Employee {work_email: sofie@techcorp.com,image_path: https://cdn.pixabay.com/photo/2015/10/05/22/37/blank-profile-picture-973460_960_720.png,work_phone: 88884567,last_name: Nielsen,id: 4,first_name: Sofie})"
